City_ID,City,Country,Max Temp,Description,Lat,Lng,Current Description,Hotel Name
489,Mayumba,GA,77.59,overcast clouds,-3.432,10.6554,overcast clouds,LIKWALE LODGE
492,La Asuncion,VE,79.68,overcast clouds,11.0333,-63.8628,overcast clouds,Colinas de Matasiete
494,Buluang,PH,77.31,overcast clouds,13.3068,123.3425,overcast clouds,Sacueza Beach Resort
496,Lorengau,PG,81.61,overcast clouds,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
497,Canutama,BR,77.11,light rain,-6.5339,-64.3831,light rain,Hotel Jhennifer
499,Tura,IN,72.9,very heavy rain,25.5198,90.2201,very heavy rain,Hotel RIKMAN Continental
500,Rabaul,PG,80.17,overcast clouds,-4.1967,152.1721,overcast clouds,Rabaul Hotel
501,Kuching,MY,77.22,light rain,1.55,110.3333,light rain,Hilton Kuching
503,Touros,BR,78.42,scattered clouds,-5.1989,-35.4608,scattered clouds,INN NEW HORIZON
506,Pokhara,NP,72.84,clear sky,28.2333,83.9833,clear sky,OYO 170 Hotel View Point
507,Alta Floresta,BR,76.5,scattered clouds,-9.8756,-56.0861,scattered clouds,Floresta Amazonica Hotel
508,Hamilton,US,87.01,clear sky,39.1834,-84.5333,clear sky,Six Acres Bed & Breakfast
512,Dergaon,IN,72.52,heavy intensity rain,26.7,93.9667,heavy intensity rain,Villa Shivalay (Assam)
516,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,clear sky,The Esplanade Hotel
517,Kinablangan,PH,76.89,overcast clouds,7.6947,126.5503,overcast clouds,Morales Eatery and Lodging House
519,Parlakimidi,IN,81.61,broken clouds,18.7667,84.0833,broken clouds,APEPDCL
522,Rosarito,MX,79.66,broken clouds,32.3333,-117.0333,broken clouds,Hotel Festival Plaza Rosarito
524,Bassar,TG,77.49,overcast clouds,9.25,0.7833,overcast clouds,Hôtel KYRIAD
528,Saint-Paul,RE,71.69,scattered clouds,-21.0096,55.2707,scattered clouds,Boucan Canot
536,Kolaras,IN,91.85,scattered clouds,25.2333,77.6,scattered clouds,Shiv Shakti Garden (Gayatri Colony)
537,Pacific Grove,US,80.24,broken clouds,36.6177,-121.9166,broken clouds,Lovers Point Inn
539,Kongolo,CD,75.99,overcast clouds,-5.3833,27.0,overcast clouds,GUEST HOUSE OASIS
541,Moose Factory,CA,73.8,broken clouds,51.2585,-80.6094,broken clouds,Moosonee Lilypad
546,Seoni,IN,86.77,broken clouds,22.0833,79.5333,broken clouds,STARiHOTELS Nehru Road Seoni
549,San Andres,CO,81.91,overcast clouds,12.5847,-81.7006,overcast clouds,Hotel Arena Blanca
552,Jadu,LY,73.54,clear sky,31.953000000000003,12.0261,clear sky,امياس للصرافة
554,Menomonie,US,73.44,overcast clouds,44.8755,-91.9193,overcast clouds,Best Western Plus Menomonie Inn & Suites
558,Ibadan,NG,74.95,overcast clouds,7.3878,3.8964,overcast clouds,Orchard Hotel
559,Lubao,PH,78.51,overcast clouds,14.9167,120.55,overcast clouds,Hacienda Gracia
560,Rancho Palos Verdes,US,86.41,broken clouds,33.7445,-118.387,broken clouds,Terranea Resort
563,Kikwit,CD,74.07,overcast clouds,-5.041,18.8162,overcast clouds,HOTEL PLACE YALABA
564,Medak,IN,85.71,overcast clouds,18.0333,78.2667,overcast clouds,Haritha Heritage Hotel
567,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,clear sky,Veranda Paul et Virginie Hotel & Spa
568,Ende,ID,76.71,clear sky,-8.8432,121.6623,clear sky,Dwi Putra Hotel - Ende
569,Hoshangabad,IN,90.93,few clouds,22.75,77.7167,few clouds,NAMAN NARMADA
580,Puerto Morazan,NI,90.37,broken clouds,12.8504,-87.1717,broken clouds,Iglesia de Dios de la profecia
582,Dwarka,IN,82.98,clear sky,22.2394,68.9678,clear sky,Hotel Narayan Avezika Comfort
583,Ciempozuelos,ES,70.61,broken clouds,40.1591,-3.6210000000000004,broken clouds,COMPLEJO LAS ESTRELLAS SL
584,Grand-Santi,GF,76.39,moderate rain,4.25,-54.3833,moderate rain,Hotel La Villa Couacou
587,Porto Velho,BR,80.65,scattered clouds,-8.7619,-63.9039,scattered clouds,Ecos Hotel Conforto
