City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
166,Sibolga,ID,1.7427,98.7792,76.62,90,89,1.97,overcast clouds
167,Caravelas,BR,-17.7125,-39.2481,75.29,71,97,5.59,overcast clouds
168,Agdas,AZ,40.65,47.4761,68.92,49,84,2.64,broken clouds
169,Bethel,US,41.3712,-73.414,79.65,68,0,13.8,clear sky
170,Arman,RU,59.7,150.1667,41.02,90,100,14.72,overcast clouds
171,Amahai,ID,-3.3333,128.9167,78.98,83,54,3.62,broken clouds
172,Clarksdale,US,34.2001,-90.5709,87.78,51,0,9.22,clear sky
173,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,52,10.92,light rain
174,Coyaima,CO,3.7994,-75.1947,87.17,69,76,2.84,broken clouds
175,Nampula,MZ,-15.1165,39.2666,61.68,96,3,3.47,clear sky
176,Lagoa,PT,39.05,-27.9833,61.74,84,100,38.07,light rain
177,Salalah,OM,17.0151,54.0924,79.32,53,0,1.68,clear sky
178,Najran,SA,17.4924,44.1277,70.23,9,23,1.9,few clouds
179,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,92,100,38.7,moderate rain
180,Katherine,AU,-14.4667,132.2667,64.72,63,0,5.75,clear sky
181,Cozumel,MX,20.5083,-86.9458,86.95,60,20,11.99,few clouds
182,Starychi,UA,49.98,23.5585,46.53,80,4,3.29,clear sky
183,Yurgamysh,RU,55.3714,64.4656,49.06,90,97,6.85,overcast clouds
184,Sioux Lookout,CA,50.1001,-91.917,44.8,76,99,10.76,moderate rain
185,Entebbe,UG,0.0644,32.4469,71.92,88,20,2.3,few clouds
186,Samarai,PG,-10.6167,150.6667,79.72,78,2,4.43,clear sky
187,Plouzane,FR,48.3833,-4.6167,59.32,94,100,14.97,overcast clouds
188,Westport,US,41.1415,-73.3579,79.14,67,50,3.0,scattered clouds
189,Ternate,ID,0.8,127.4,81.19,78,100,3.6,overcast clouds
190,Kayerkan,RU,69.3497,87.7602,35.02,95,100,6.49,overcast clouds
191,San Cristobal,VE,7.7669,-72.225,76.75,68,100,4.43,overcast clouds
192,Hwange,ZW,-18.3693,26.5019,62.53,50,1,2.82,clear sky
193,Verkhnyaya Inta,RU,65.9811,60.3094,44.29,92,100,6.55,overcast clouds
194,Kavieng,PG,-2.5744,150.7967,82.26,68,100,4.23,overcast clouds
195,Port Elizabeth,ZA,-33.918,25.5701,57.31,97,1,1.01,clear sky
196,Toora-Khem,RU,52.4675,96.11,47.79,52,78,1.12,broken clouds
197,Laguna,US,38.421,-121.4238,95.14,39,0,11.5,clear sky
198,Konevo,RU,62.1215,39.3192,43.45,97,98,5.28,overcast clouds
199,Mahibadhoo,MV,3.7833,72.9667,83.34,75,100,19.3,overcast clouds
200,Gat,IL,31.61,34.7642,65.08,82,0,0.6,clear sky
201,Te Anau,NZ,-45.4167,167.7167,48.7,75,12,1.57,few clouds
202,Nome,US,64.5011,-165.4064,39.11,77,97,4.94,overcast clouds
203,Santiago Del Estero,AR,-27.7951,-64.2615,56.66,49,100,6.69,overcast clouds
204,Kamakwie,SL,9.5,-12.2333,81.79,79,19,8.72,few clouds
205,Ballina,AU,-28.8667,153.5667,71.78,92,9,4.21,clear sky
206,Takahata,JP,38.0025,140.1911,50.36,53,100,1.88,light rain
207,Henties Bay,NA,-22.116,14.2845,63.1,62,1,1.92,clear sky
208,Hasaki,JP,35.7333,140.8333,57.6,80,100,16.17,heavy intensity rain
209,Sorland,NO,67.667,12.6934,40.86,73,100,20.6,overcast clouds
210,Odweyne,SO,9.4092,45.064,77.5,48,1,11.34,clear sky
211,Baiyin,CN,36.5583,104.2081,45.88,55,0,8.7,clear sky
212,Nefteyugansk,RU,61.0998,72.6035,50.67,80,100,9.33,overcast clouds
213,Mahebourg,MU,-20.4081,57.7,75.49,83,40,11.5,scattered clouds
214,Marathon,US,44.9,-89.7668,73.35,26,20,17.27,few clouds
215,Conde,BR,-7.2597,-34.9075,75.9,88,72,6.22,broken clouds
216,Iranshahr,IR,27.2025,60.6848,77.4,14,0,2.57,clear sky
217,Ponta Delgada,PT,37.7333,-25.6667,65.5,82,75,24.16,broken clouds
218,Yining,CN,29.0361,114.5636,54.73,97,85,1.19,overcast clouds
219,Tampakan,PH,6.4442,124.9264,74.39,92,82,1.88,broken clouds
220,Kruisfontein,ZA,-34.0033,24.7314,55.36,72,0,4.92,clear sky
221,Oktyabrskiy,RU,54.4815,53.471,49.78,94,100,5.06,light rain
222,Sawakin,SD,19.1059,37.3321,88.52,34,0,4.63,clear sky
223,Panacan,PH,9.2463,118.4082,80.62,82,95,2.15,light rain
224,Teknaf,BD,20.8624,92.3058,81.68,85,58,4.81,broken clouds
225,Nanortalik,GL,60.1432,-45.2371,30.88,77,77,6.78,broken clouds
226,Lewistown,US,40.5992,-77.5714,79.16,100,89,4.61,overcast clouds
227,Tuy Hoa,VN,13.0833,109.3,77.23,88,100,3.24,overcast clouds
228,Kuytun,RU,54.3419,101.5036,54.79,45,100,4.56,overcast clouds
229,Macau,MO,22.2006,113.5461,67.8,94,40,20.71,scattered clouds
230,Naantali,FI,60.4674,22.0243,42.85,65,0,8.05,clear sky
231,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,86,83,27.0,broken clouds
232,Ust-Maya,RU,60.4167,134.5333,37.51,79,100,10.0,overcast clouds
233,Flin Flon,CA,54.7682,-101.865,39.74,85,100,13.62,overcast clouds
234,Ketchikan,US,55.3422,-131.6461,48.18,93,100,14.97,moderate rain
235,Vardo,NO,70.3705,31.1107,37.38,81,100,9.22,overcast clouds
236,Russell,US,32.3502,-85.1999,83.8,57,0,5.75,clear sky
237,Pucara,PE,-15.9803,-71.4606,42.19,30,50,9.35,scattered clouds
238,Sindor,RU,62.8629,51.8905,45.39,94,100,2.21,light rain
239,Pevek,RU,69.7008,170.3133,23.9,84,100,4.88,overcast clouds
240,Buraydah,SA,26.326,43.975,82.99,13,0,4.7,clear sky
241,Isangel,VU,-19.55,169.2667,77.9,72,39,13.47,scattered clouds
242,Apache Junction,US,33.4151,-111.5496,105.64,3,0,5.75,clear sky
243,San Juan,AR,-31.5375,-68.5364,52.3,39,79,1.43,broken clouds
244,Omsukchan,RU,62.5333,155.8,34.05,99,100,6.8,overcast clouds
245,Koslan,RU,63.4564,48.8989,47.1,91,96,6.93,overcast clouds
246,Bubaque,GW,11.2833,-15.8333,79.47,83,65,17.38,broken clouds
247,Neiafu,TO,-18.65,-173.9833,79.48,69,20,6.91,few clouds
248,Taltal,CL,-25.4,-70.4833,60.01,81,84,2.44,broken clouds
249,Vila Velha,BR,-20.3297,-40.2925,74.48,77,23,12.06,few clouds
250,Severo-Kurilsk,RU,50.6789,156.125,35.92,98,100,14.9,moderate rain
251,Coffs Harbour,AU,-30.3,153.1333,72.14,94,100,0.0,overcast clouds
252,Constitucion,CL,-35.3333,-72.4167,55.87,62,100,5.48,overcast clouds
253,Yulara,AU,-25.2406,130.9889,54.81,41,0,8.79,clear sky
254,Cabo San Lucas,MX,22.8909,-109.9124,86.61,49,95,11.52,overcast clouds
255,Tiarei,PF,-17.5333,-149.3333,84.22,75,65,14.23,light rain
256,Kravare,CZ,49.932,18.0047,55.42,91,8,5.99,clear sky
257,Brae,GB,60.3964,-1.353,49.26,89,95,7.23,overcast clouds
258,Aasiaat,GL,68.7098,-52.8699,22.37,77,8,5.59,clear sky
259,Umm Lajj,SA,25.0213,37.2685,83.82,55,0,8.32,clear sky
260,Mbekenyera,TZ,-10.0,38.9833,67.26,83,29,4.45,scattered clouds
